epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,5134.97,0.87886,0.73309,1.04102,0.93708,0.88998,0.92954,0.77035,1.05891,0.81413,1.1391,0.0084028,0.0084028,0.0084028
123,5175.99,0.85159,0.71184,1.04144,0.91029,0.89372,0.92239,0.77883,1.08113,0.87205,1.15047,0.0083896,0.0083896,0.0083896
124,5217.53,0.86178,0.70852,1.03096,0.93274,0.8843,0.92234,0.77843,1.06155,0.87905,1.16116,0.0083764,0.0083764,0.0083764
125,5260.92,0.8922,0.73395,1.04502,0.88381,0.89451,0.91557,0.7734,1.06067,0.9085,1.13202,0.0083632,0.0083632,0.0083632
126,5304.84,0.86989,0.70395,1.02864,0.89282,0.9004,0.92699,0.7752,1.04097,0.81622,1.12786,0.00835,0.00835,0.00835
127,5347.7,0.89035,0.72577,1.0406,0.91688,0.89822,0.9254,0.79045,1.0453,0.88399,1.13751,0.0083368,0.0083368,0.0083368
128,5390.79,0.8561,0.71412,1.03035,0.94519,0.88121,0.92406,0.78679,1.00743,0.83407,1.09665,0.0083236,0.0083236,0.0083236
129,5434.57,0.87183,0.70715,1.03483,0.91687,0.89336,0.92522,0.78676,1.00931,0.897,1.12281,0.0083104,0.0083104,0.0083104
130,5478.55,0.87754,0.71193,1.03292,0.92738,0.89781,0.92669,0.79083,1.00269,0.84913,1.10524,0.0082972,0.0082972,0.0082972
131,5521.04,0.85092,0.69337,1.01605,0.92525,0.86133,0.90734,0.77672,1.02623,0.9501,1.11413,0.008284,0.008284,0.008284
132,5562.08,0.86326,0.70486,1.03008,0.93717,0.89283,0.92716,0.79103,1.01238,0.87122,1.11819,0.0082708,0.0082708,0.0082708
133,5602.59,0.84965,0.69769,1.02706,0.92315,0.90186,0.92384,0.7857,1.04199,0.90564,1.12677,0.0082576,0.0082576,0.0082576
134,5644.1,0.83752,0.69771,1.03391,0.93484,0.88003,0.92788,0.79816,1.02901,0.88049,1.13701,0.0082444,0.0082444,0.0082444
135,5684.86,0.85196,0.68963,1.03083,0.93341,0.90618,0.93071,0.79419,1.01447,0.85312,1.11281,0.0082312,0.0082312,0.0082312
136,5725.99,0.86085,0.6987,1.02752,0.92915,0.89895,0.92937,0.79516,1.02174,0.85425,1.11254,0.008218,0.008218,0.008218
137,5767.4,0.88003,0.70002,1.02829,0.9395,0.88572,0.92216,0.78421,1.06821,0.899,1.16311,0.0082048,0.0082048,0.0082048
138,5809.71,0.86145,0.69215,1.02975,0.94159,0.87136,0.91506,0.77521,1.01909,0.89689,1.11925,0.0081916,0.0081916,0.0081916
139,5851.47,0.84807,0.68522,1.02168,0.93284,0.87546,0.91281,0.77335,1.04872,0.85143,1.13689,0.0081784,0.0081784,0.0081784
140,5893.24,0.83878,0.68263,1.02997,0.91732,0.88963,0.91704,0.77924,1.05352,0.89632,1.15439,0.0081652,0.0081652,0.0081652
141,5943.8,0.85348,0.69135,1.02752,0.92542,0.8819,0.92537,0.78491,1.02149,0.88446,1.11748,0.008152,0.008152,0.008152
142,5999.82,0.86035,0.67707,1.02207,0.93611,0.86653,0.91042,0.7749,1.01577,0.95049,1.11016,0.0081388,0.0081388,0.0081388
143,6046.87,0.83811,0.6585,1.02787,0.93927,0.87696,0.91589,0.79153,0.99606,0.84154,1.11252,0.0081256,0.0081256,0.0081256
144,6093.84,0.84373,0.68448,1.02498,0.94342,0.87562,0.92358,0.7838,1.04787,0.87512,1.12173,0.0081124,0.0081124,0.0081124
145,6139.28,0.84905,0.68027,1.02514,0.90016,0.90376,0.93238,0.79726,0.97136,0.81296,1.08281,0.0080992,0.0080992,0.0080992
146,6186.5,0.84727,0.68837,1.0232,0.92788,0.89667,0.93219,0.79221,1.01617,0.81371,1.12094,0.008086,0.008086,0.008086
147,6232.54,0.84174,0.66935,1.03107,0.94627,0.86766,0.92752,0.79823,1.00935,0.84533,1.10796,0.0080728,0.0080728,0.0080728
148,6279.05,0.82295,0.67179,1.01183,0.93032,0.89425,0.92703,0.78777,1.01686,0.83034,1.12906,0.0080596,0.0080596,0.0080596
149,6325.7,0.83142,0.66922,1.01153,0.94054,0.88501,0.92883,0.79027,1.02862,0.90526,1.14617,0.0080464,0.0080464,0.0080464
150,6372.23,0.83637,0.66804,1.01807,0.92108,0.89638,0.92267,0.78393,1.02041,0.82846,1.11174,0.0080332,0.0080332,0.0080332
151,6419.14,0.84215,0.6682,1.01539,0.92805,0.86952,0.9206,0.79171,1.01843,0.88919,1.14144,0.00802,0.00802,0.00802
152,6467.02,0.81485,0.64823,1.01332,0.91828,0.88572,0.91737,0.7793,1.02223,0.86325,1.12191,0.0080068,0.0080068,0.0080068
153,6512.86,0.8224,0.65851,0.99775,0.93595,0.88785,0.92158,0.77798,1.03043,0.87707,1.1482,0.0079936,0.0079936,0.0079936
154,6559.38,0.8578,0.66897,1.02303,0.90782,0.88507,0.9187,0.779,1.02971,0.85678,1.14787,0.0079804,0.0079804,0.0079804
155,6606.62,0.815,0.65261,1.00754,0.93645,0.87065,0.92324,0.79435,1.03482,0.89508,1.1208,0.0079672,0.0079672,0.0079672
